,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Time,season,Attendance
58,58,E0,11/09/99,Coventry,Leeds,3,4,A,2,3,A,,,,,,,,,,,,,S_1999_2000,
59,59,E0,11/09/99,Liverpool,Man United,2,3,A,1,3,A,,,,,,,,,,,,,S_1999_2000,
60,60,E0,11/09/99,Middlesbrough,Southampton,3,2,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
61,61,E0,11/09/99,Sheffield Weds,Everton,0,2,A,0,2,A,,,,,,,,,,,,,S_1999_2000,
62,62,E0,11/09/99,Sunderland,Leicester,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
63,63,E0,11/09/99,West Ham,Watford,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
64,64,E0,11/09/99,Wimbledon,Derby,2,2,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
65,65,E0,12/09/99,Bradford,Tottenham,1,1,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
66,66,E0,18/09/99,Aston Villa,Bradford,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
67,67,E0,18/09/99,Derby,Sunderland,0,5,A,0,2,A,,,,,,,,,,,,,S_1999_2000,
68,68,E0,18/09/99,Leicester,Liverpool,2,2,D,1,2,A,,,,,,,,,,,,,S_1999_2000,
69,69,E0,18/09/99,Man United,Wimbledon,1,1,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
70,70,E0,18/09/99,Southampton,Arsenal,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
71,71,E0,18/09/99,Watford,Chelsea,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
72,72,E0,19/09/99,Everton,West Ham,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
73,73,E0,19/09/99,Leeds,Middlesbrough,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
74,74,E0,19/09/99,Newcastle,Sheffield Weds,8,0,H,4,0,H,,,,,,,,,,,,,S_1999_2000,
75,75,E0,19/09/99,Tottenham,Coventry,3,2,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
76,76,E0,25/09/99,Arsenal,Watford,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
77,77,E0,25/09/99,Coventry,West Ham,1,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
78,78,E0,25/09/99,Derby,Bradford,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
79,79,E0,25/09/99,Leeds,Newcastle,3,2,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
80,80,E0,25/09/99,Leicester,Aston Villa,3,1,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
81,81,E0,25/09/99,Man United,Southampton,3,3,D,2,1,H,,,,,,,,,,,,,S_1999_2000,
82,82,E0,25/09/99,Middlesbrough,Chelsea,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
83,83,E0,25/09/99,Sunderland,Sheffield Weds,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
84,84,E0,26/09/99,Wimbledon,Tottenham,1,1,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
85,85,E0,27/09/99,Liverpool,Everton,0,1,A,0,1,A,,,,,,,,,,,,,S_1999_2000,
86,86,E0,02/10/99,Aston Villa,Liverpool,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
87,87,E0,02/10/99,Bradford,Sunderland,0,4,A,0,1,A,,,,,,,,,,,,,S_1999_2000,
88,88,E0,02/10/99,Everton,Coventry,1,1,D,1,1,D,,,,,,,,,,,,,S_1999_2000,
89,89,E0,02/10/99,Sheffield Weds,Wimbledon,5,1,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
90,90,E0,03/10/99,Chelsea,Man United,5,0,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
91,91,E0,03/10/99,Newcastle,Middlesbrough,2,1,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
92,92,E0,03/10/99,Tottenham,Leicester,2,3,A,2,1,H,,,,,,,,,,,,,S_1999_2000,
93,93,E0,03/10/99,Watford,Leeds,1,2,A,1,1,D,,,,,,,,,,,,,S_1999_2000,
94,94,E0,03/10/99,West Ham,Arsenal,2,1,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
95,95,E0,04/10/99,Southampton,Derby,3,3,D,2,1,H,,,,,,,,,,,,,S_1999_2000,
96,96,E0,16/10/99,Arsenal,Everton,4,1,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
97,97,E0,16/10/99,Coventry,Newcastle,4,1,H,3,0,H,,,,,,,,,,,,,S_1999_2000,
98,98,E0,16/10/99,Derby,Tottenham,0,1,A,0,1,A,,,,,,,,,,,,,S_1999_2000,
99,99,E0,16/10/99,Leeds,Sheffield Weds,2,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
100,100,E0,16/10/99,Leicester,Southampton,2,1,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
101,101,E0,16/10/99,Liverpool,Chelsea,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
102,102,E0,16/10/99,Man United,Watford,4,1,H,3,0,H,,,,,,,,,,,,,S_1999_2000,
103,103,E0,16/10/99,Wimbledon,Bradford,3,2,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
104,104,E0,17/10/99,Middlesbrough,West Ham,2,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
105,105,E0,18/10/99,Sunderland,Aston Villa,2,1,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
106,106,E0,23/10/99,Aston Villa,Wimbledon,1,1,D,1,1,D,,,,,,,,,,,,,S_1999_2000,
107,107,E0,23/10/99,Bradford,Leicester,3,1,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
108,108,E0,23/10/99,Chelsea,Arsenal,2,3,A,1,0,H,,,,,,,,,,,,,S_1999_2000,
109,109,E0,23/10/99,Sheffield Weds,Coventry,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
110,110,E0,23/10/99,Southampton,Liverpool,1,1,D,1,0,H,,,,,,,,,,,,,S_1999_2000,
111,111,E0,23/10/99,Tottenham,Man United,3,1,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
112,112,E0,24/10/99,Everton,Leeds,4,4,D,3,2,H,,,,,,,,,,,,,S_1999_2000,
113,113,E0,24/10/99,Watford,Middlesbrough,1,3,A,0,2,A,,,,,,,,,,,,,S_1999_2000,
114,114,E0,24/10/99,West Ham,Sunderland,1,1,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
115,115,E0,25/10/99,Newcastle,Derby,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
116,116,E0,27/10/99,Liverpool,West Ham,1,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
117,117,E0,30/10/99,Arsenal,Newcastle,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
118,118,E0,30/10/99,Derby,Chelsea,3,1,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
119,119,E0,30/10/99,Leeds,West Ham,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
120,120,E0,30/10/99,Leicester,Sheffield Weds,3,0,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
121,121,E0,30/10/99,Man United,Aston Villa,3,0,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
122,122,E0,30/10/99,Middlesbrough,Everton,2,1,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
123,123,E0,30/10/99,Wimbledon,Southampton,1,1,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
