,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,season
0,E0,19/08/95,Aston Villa,Man United,3,1,H,3,0,H,,,,,,,,,,,,S_1995_1996
1,E0,19/08/95,Blackburn,QPR,1,0,H,1,0,H,,,,,,,,,,,,S_1995_1996
2,E0,19/08/95,Chelsea,Everton,0,0,D,0,0,D,,,,,,,,,,,,S_1995_1996
3,E0,19/08/95,Liverpool,Sheffield Weds,1,0,H,0,0,D,,,,,,,,,,,,S_1995_1996
4,E0,19/08/95,Man City,Tottenham,1,1,D,0,1,A,,,,,,,,,,,,S_1995_1996
5,E0,19/08/95,Newcastle,Coventry,3,0,H,1,0,H,,,,,,,,,,,,S_1995_1996
6,E0,19/08/95,Southampton,Nott'm Forest,3,4,A,1,3,A,,,,,,,,,,,,S_1995_1996
7,E0,19/08/95,West Ham,Leeds,1,2,A,1,0,H,,,,,,,,,,,,S_1995_1996
8,E0,19/08/95,Wimbledon,Bolton,3,2,H,2,2,D,,,,,,,,,,,,S_1995_1996
9,E0,20/08/95,Arsenal,Middlesbrough,1,1,D,1,1,D,,,,,,,,,,,,S_1995_1996
10,E0,21/08/95,Leeds,Liverpool,1,0,H,0,0,D,,,,,,,,,,,,S_1995_1996
11,E0,22/08/95,Bolton,Newcastle,1,3,A,0,1,A,,,,,,,,,,,,S_1995_1996
12,E0,23/08/95,Coventry,Man City,2,1,H,1,0,H,,,,,,,,,,,,S_1995_1996
13,E0,23/08/95,Everton,Arsenal,0,2,A,0,0,D,,,,,,,,,,,,S_1995_1996
14,E0,23/08/95,Man United,West Ham,2,1,H,0,0,D,,,,,,,,,,,,S_1995_1996
15,E0,23/08/95,Nott'm Forest,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,S_1995_1996
16,E0,23/08/95,QPR,Wimbledon,0,3,A,0,1,A,,,,,,,,,,,,S_1995_1996
17,E0,23/08/95,Sheffield Weds,Blackburn,2,1,H,1,0,H,,,,,,,,,,,,S_1995_1996
18,E0,23/08/95,Tottenham,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,,S_1995_1996
19,E0,26/08/95,Bolton,Blackburn,2,1,H,1,0,H,,,,,,,,,,,,S_1995_1996
20,E0,26/08/95,Coventry,Arsenal,0,0,D,0,0,D,,,,,,,,,,,,S_1995_1996
21,E0,26/08/95,Everton,Southampton,2,0,H,2,0,H,,,,,,,,,,,,S_1995_1996
22,E0,26/08/95,Leeds,Aston Villa,2,0,H,1,0,H,,,,,,,,,,,,S_1995_1996
23,E0,26/08/95,Man United,Wimbledon,3,1,H,1,0,H,,,,,,,,,,,,S_1995_1996
24,E0,26/08/95,Middlesbrough,Chelsea,2,0,H,1,0,H,,,,,,,,,,,,S_1995_1996
25,E0,26/08/95,Nott'm Forest,West Ham,1,1,D,1,1,D,,,,,,,,,,,,S_1995_1996
26,E0,26/08/95,QPR,Man City,1,0,H,1,0,H,,,,,,,,,,,,S_1995_1996
27,E0,26/08/95,Tottenham,Liverpool,1,3,A,0,2,A,,,,,,,,,,,,S_1995_1996
28,E0,27/08/95,Sheffield Weds,Newcastle,0,2,A,0,0,D,,,,,,,,,,,,S_1995_1996
29,E0,28/08/95,Blackburn,Man United,1,2,A,0,0,D,,,,,,,,,,,,S_1995_1996
30,E0,29/08/95,Arsenal,Nott'm Forest,1,1,D,1,0,H,,,,,,,,,,,,S_1995_1996
