,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,season
0,E0,15/08/98,Blackburn,Derby,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
1,E0,15/08/98,Coventry,Chelsea,2,1,H,2,1,H,,,,,,,,,,,,S_1998_1999
2,E0,15/08/98,Everton,Aston Villa,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
3,E0,15/08/98,Man United,Leicester,2,2,D,0,1,A,,,,,,,,,,,,S_1998_1999
4,E0,15/08/98,Middlesbrough,Leeds,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
5,E0,15/08/98,Newcastle,Charlton,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
6,E0,15/08/98,Sheffield Weds,West Ham,0,1,A,0,0,D,,,,,,,,,,,,S_1998_1999
7,E0,15/08/98,Wimbledon,Tottenham,3,1,H,0,0,D,,,,,,,,,,,,S_1998_1999
8,E0,16/08/98,Southampton,Liverpool,1,2,A,1,1,D,,,,,,,,,,,,S_1998_1999
9,E0,17/08/98,Arsenal,Nott'm Forest,2,1,H,0,0,D,,,,,,,,,,,,S_1998_1999
10,E0,22/08/98,Charlton,Southampton,5,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
11,E0,22/08/98,Chelsea,Newcastle,1,1,D,1,1,D,,,,,,,,,,,,S_1998_1999
12,E0,22/08/98,Derby,Wimbledon,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
13,E0,22/08/98,Leicester,Everton,2,0,H,2,0,H,,,,,,,,,,,,S_1998_1999
14,E0,22/08/98,Liverpool,Arsenal,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
15,E0,22/08/98,Nott'm Forest,Coventry,1,0,H,0,0,D,,,,,,,,,,,,S_1998_1999
16,E0,22/08/98,Tottenham,Sheffield Weds,0,3,A,0,2,A,,,,,,,,,,,,S_1998_1999
17,E0,22/08/98,West Ham,Man United,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
18,E0,23/08/98,Aston Villa,Middlesbrough,3,1,H,1,0,H,,,,,,,,,,,,S_1998_1999
19,E0,24/08/98,Leeds,Blackburn,1,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
20,E0,29/08/98,Arsenal,Charlton,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
