,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Time,season,Attendance
0,0,E0,14/08/93,Arsenal,Coventry,0,3,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
1,1,E0,14/08/93,Aston Villa,QPR,4,1,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
2,2,E0,14/08/93,Chelsea,Blackburn,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
3,3,E0,14/08/93,Liverpool,Sheffield Weds,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
4,4,E0,14/08/93,Man City,Leeds,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
5,5,E0,14/08/93,Newcastle,Tottenham,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
6,6,E0,14/08/93,Oldham,Ipswich,0,3,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
7,7,E0,14/08/93,Sheffield United,Swindon,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
8,8,E0,14/08/93,Southampton,Everton,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
9,9,E0,14/08/93,West Ham,Wimbledon,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
10,10,E0,15/08/93,Norwich,Man United,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
11,11,E0,16/08/93,Tottenham,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
12,12,E0,17/08/93,Everton,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
13,13,E0,17/08/93,Ipswich,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
14,14,E0,17/08/93,Leeds,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
15,15,E0,17/08/93,Wimbledon,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
16,16,E0,18/08/93,Blackburn,Norwich,2,3,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
17,17,E0,18/08/93,Coventry,Newcastle,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
18,18,E0,18/08/93,Man United,Sheffield United,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
19,19,E0,18/08/93,QPR,Liverpool,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
20,20,E0,18/08/93,Sheffield Weds,Aston Villa,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
21,21,E0,18/08/93,Swindon,Oldham,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
22,22,E0,21/08/93,Blackburn,Oldham,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
23,23,E0,21/08/93,Coventry,West Ham,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
24,24,E0,21/08/93,Everton,Sheffield United,4,2,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
25,25,E0,21/08/93,Ipswich,Chelsea,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
26,26,E0,21/08/93,Leeds,Norwich,0,4,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
27,27,E0,21/08/93,Man United,Newcastle,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
28,28,E0,21/08/93,QPR,Southampton,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
29,29,E0,21/08/93,Sheffield Weds,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
30,30,E0,21/08/93,Tottenham,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
31,31,E0,21/08/93,Wimbledon,Aston Villa,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
32,32,E0,22/08/93,Swindon,Liverpool,0,5,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
33,33,E0,23/08/93,Aston Villa,Man United,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
34,34,E0,24/08/93,Arsenal,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
35,35,E0,24/08/93,Man City,Blackburn,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
36,36,E0,24/08/93,Oldham,Coventry,3,3,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
37,37,E0,24/08/93,Sheffield United,Wimbledon,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
38,38,E0,25/08/93,Chelsea,QPR,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
39,39,E0,25/08/93,Liverpool,Tottenham,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
40,40,E0,25/08/93,Newcastle,Everton,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
41,41,E0,25/08/93,Norwich,Ipswich,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
42,42,E0,25/08/93,Southampton,Swindon,5,1,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
43,43,E0,25/08/93,West Ham,Sheffield Weds,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
44,44,E0,27/08/93,Man City,Coventry,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
45,45,E0,28/08/93,Arsenal,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
46,46,E0,28/08/93,Aston Villa,Tottenham,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
47,47,E0,28/08/93,Chelsea,Sheffield Weds,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
48,48,E0,28/08/93,Liverpool,Leeds,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
49,49,E0,28/08/93,Norwich,Swindon,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
50,50,E0,28/08/93,Oldham,Wimbledon,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
51,51,E0,28/08/93,Sheffield United,Ipswich,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
52,52,E0,28/08/93,Southampton,Man United,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
53,53,E0,28/08/93,West Ham,QPR,0,4,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
54,54,E0,29/08/93,Newcastle,Blackburn,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
55,55,E0,30/08/93,Leeds,Oldham,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
56,56,E0,31/08/93,Everton,Aston Villa,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
57,57,E0,31/08/93,Ipswich,Newcastle,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
58,58,E0,31/08/93,Wimbledon,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
59,59,E0,01/09/93,Blackburn,Arsenal,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
60,60,E0,01/09/93,Coventry,Liverpool,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
61,61,E0,01/09/93,Man United,West Ham,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
62,62,E0,01/09/93,QPR,Sheffield United,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
63,63,E0,01/09/93,Sheffield Weds,Norwich,3,3,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
64,64,E0,01/09/93,Swindon,Man City,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
65,65,E0,01/09/93,Tottenham,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
66,66,E0,11/09/93,Arsenal,Ipswich,4,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
67,67,E0,11/09/93,Aston Villa,Coventry,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
68,68,E0,11/09/93,Chelsea,Man United,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
69,69,E0,11/09/93,Man City,QPR,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
70,70,E0,11/09/93,Norwich,Wimbledon,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
71,71,E0,11/09/93,Oldham,Everton,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
72,72,E0,11/09/93,Sheffield United,Tottenham,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994,
