,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,season
0,D1,13/08/99,Duisburg,Leverkusen,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
1,D1,13/08/99,Wolfsburg,Munich 1860,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,S_1999_2000
2,D1,14/08/99,Bayern Munich,Hamburg,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,S_1999_2000
3,D1,14/08/99,Ein Frankfurt,Unterhaching,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
4,D1,14/08/99,Kaiserslautern,Dortmund,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
5,D1,14/08/99,Schalke 04,Bielefeld,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
6,D1,14/08/99,Stuttgart,Werder Bremen,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
7,D1,15/08/99,Hertha,Hansa Rostock,5.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,S_1999_2000
8,D1,15/08/99,Ulm,Freiburg,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,S_1999_2000
9,D1,20/08/99,Bielefeld,Hertha,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
10,D1,20/08/99,Unterhaching,Duisburg,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
11,D1,21/08/99,Dortmund,Wolfsburg,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
12,D1,21/08/99,Freiburg,Ein Frankfurt,2.0,3.0,A,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
13,D1,21/08/99,Hamburg,Stuttgart,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
14,D1,21/08/99,Munich 1860,Ulm,4.0,1.0,H,4.0,1.0,H,,,,,,,,,,,,S_1999_2000
15,D1,21/08/99,Werder Bremen,Schalke 04,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
16,D1,22/08/99,Hansa Rostock,Kaiserslautern,4.0,2.0,H,4.0,2.0,H,,,,,,,,,,,,S_1999_2000
17,D1,22/08/99,Leverkusen,Bayern Munich,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
18,D1,27/08/99,Kaiserslautern,Bielefeld,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
19,D1,27/08/99,Schalke 04,Hamburg,1.0,3.0,A,1.0,1.0,D,,,,,,,,,,,,S_1999_2000
20,D1,28/08/99,Bayern Munich,Unterhaching,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
21,D1,28/08/99,Freiburg,Munich 1860,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
22,D1,28/08/99,Hertha,Werder Bremen,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
23,D1,28/08/99,Stuttgart,Leverkusen,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,S_1999_2000
24,D1,28/08/99,Wolfsburg,Hansa Rostock,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1999_2000
25,D1,29/08/99,Ein Frankfurt,Duisburg,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,S_1999_2000
26,D1,29/08/99,Ulm,Dortmund,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,S_1999_2000
27,D1,10/09/99,Bielefeld,Wolfsburg,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
28,D1,10/09/99,Hansa Rostock,Ulm,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
29,D1,11/09/99,Dortmund,Freiburg,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,S_1999_2000
30,D1,11/09/99,Duisburg,Bayern Munich,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,,S_1999_2000
31,D1,11/09/99,Hamburg,Hertha,5.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,S_1999_2000
32,D1,11/09/99,Leverkusen,Schalke 04,3.0,2.0,H,0.0,1.0,A,,,,,,,,,,,,S_1999_2000
33,D1,11/09/99,Unterhaching,Stuttgart,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
34,D1,12/09/99,Munich 1860,Ein Frankfurt,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
35,D1,12/09/99,Werder Bremen,Kaiserslautern,5.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1999_2000
36,D1,17/09/99,Freiburg,Hansa Rostock,5.0,0.0,H,4.0,0.0,H,,,,,,,,,,,,S_1999_2000
37,D1,17/09/99,Munich 1860,Dortmund,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,S_1999_2000
38,D1,18/09/99,Ein Frankfurt,Bayern Munich,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
39,D1,18/09/99,Hertha,Leverkusen,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
40,D1,18/09/99,Schalke 04,Unterhaching,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
41,D1,18/09/99,Stuttgart,Duisburg,4.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,S_1999_2000
42,D1,18/09/99,Ulm,Bielefeld,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1999_2000
43,D1,19/09/99,Kaiserslautern,Hamburg,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1999_2000
44,D1,19/09/99,Wolfsburg,Werder Bremen,2.0,7.0,A,2.0,3.0,A,,,,,,,,,,,,S_1999_2000
45,D1,24/09/99,Bayern Munich,Stuttgart,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
46,D1,24/09/99,Hamburg,Wolfsburg,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,S_1999_2000
47,D1,25/09/99,Dortmund,Ein Frankfurt,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
48,D1,25/09/99,Duisburg,Schalke 04,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
49,D1,25/09/99,Hansa Rostock,Munich 1860,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
50,D1,25/09/99,Unterhaching,Hertha,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,S_1999_2000
51,D1,25/09/99,Werder Bremen,Ulm,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
52,D1,26/09/99,Bielefeld,Freiburg,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,S_1999_2000
53,D1,26/09/99,Leverkusen,Kaiserslautern,3.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,S_1999_2000
54,D1,01/10/99,Ein Frankfurt,Stuttgart,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
55,D1,01/10/99,Munich 1860,Bielefeld,5.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
56,D1,02/10/99,Dortmund,Hansa Rostock,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
57,D1,02/10/99,Hertha,Duisburg,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
58,D1,02/10/99,Schalke 04,Bayern Munich,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
59,D1,02/10/99,Ulm,Hamburg,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
60,D1,02/10/99,Wolfsburg,Leverkusen,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
61,D1,03/10/99,Freiburg,Werder Bremen,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1999_2000
62,D1,03/10/99,Kaiserslautern,Unterhaching,4.0,2.0,H,1.0,1.0,D,,,,,,,,,,,,S_1999_2000
63,D1,15/10/99,Bielefeld,Dortmund,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,S_1999_2000
64,D1,15/10/99,Leverkusen,Ulm,4.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,S_1999_2000
