,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,season
0,D1,07/08/93,Bayern Munich,Freiburg,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
1,D1,07/08/93,Dortmund,Karlsruhe,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
2,D1,07/08/93,Duisburg,Leverkusen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
3,D1,07/08/93,FC Koln,Kaiserslautern,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
4,D1,07/08/93,Hamburg,Nurnberg,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
5,D1,07/08/93,Leipzig,Dresden,3.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
6,D1,07/08/93,M'Gladbach,Ein Frankfurt,0.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
7,D1,07/08/93,Wattenscheid,Schalke 04,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
8,D1,07/08/93,Werder Bremen,Stuttgart,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
9,D1,14/08/93,Dresden,Duisburg,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
10,D1,14/08/93,Ein Frankfurt,Werder Bremen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
11,D1,14/08/93,Freiburg,Wattenscheid,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
12,D1,14/08/93,Kaiserslautern,M'Gladbach,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
13,D1,14/08/93,Karlsruhe,Hamburg,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
14,D1,14/08/93,Leverkusen,Bayern Munich,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
15,D1,14/08/93,Nurnberg,FC Koln,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
16,D1,14/08/93,Schalke 04,Dortmund,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
17,D1,14/08/93,Stuttgart,Leipzig,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,S_1993_1994
