,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,season
0,D1,14/08/98,Duisburg,Ein Frankfurt,2,1,H,1,1,D,,,,,,,,,,,,S_1998_1999
1,D1,14/08/98,Stuttgart,Dortmund,2,1,H,2,1,H,,,,,,,,,,,,S_1998_1999
2,D1,15/08/98,Bochum,Freiburg,1,2,A,0,0,D,,,,,,,,,,,,S_1998_1999
3,D1,15/08/98,Leverkusen,Hansa Rostock,3,1,H,1,1,D,,,,,,,,,,,,S_1998_1999
4,D1,15/08/98,M'gladbach,Schalke 04,3,0,H,2,0,H,,,,,,,,,,,,S_1998_1999
5,D1,15/08/98,Munich 1860,Kaiserslautern,1,2,A,1,1,D,,,,,,,,,,,,S_1998_1999
6,D1,15/08/98,Nurnberg,Hamburg,1,1,D,0,0,D,,,,,,,,,,,,S_1998_1999
7,D1,15/08/98,Wolfsburg,Bayern Munich,0,1,A,0,0,D,,,,,,,,,,,,S_1998_1999
8,D1,16/08/98,Hertha,Werder Bremen,1,0,H,0,0,D,,,,,,,,,,,,S_1998_1999
9,D1,21/08/98,Hansa Rostock,Wolfsburg,3,3,D,2,2,D,,,,,,,,,,,,S_1998_1999
10,D1,21/08/98,Werder Bremen,Nurnberg,2,3,A,2,2,D,,,,,,,,,,,,S_1998_1999
11,D1,22/08/98,Bayern Munich,Duisburg,3,1,H,1,1,D,,,,,,,,,,,,S_1998_1999
12,D1,22/08/98,Dortmund,Hertha,3,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
13,D1,22/08/98,Ein Frankfurt,Munich 1860,2,3,A,1,1,D,,,,,,,,,,,,S_1998_1999
14,D1,22/08/98,Freiburg,Leverkusen,1,1,D,0,0,D,,,,,,,,,,,,S_1998_1999
15,D1,22/08/98,Kaiserslautern,M'gladbach,2,1,H,1,0,H,,,,,,,,,,,,S_1998_1999
16,D1,22/08/98,Schalke 04,Stuttgart,1,0,H,0,0,D,,,,,,,,,,,,S_1998_1999
17,D1,23/08/98,Hamburg,Bochum,1,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
18,D1,08/09/98,Bochum,Werder Bremen,2,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
19,D1,08/09/98,Duisburg,Munich 1860,1,1,D,1,0,H,,,,,,,,,,,,S_1998_1999
20,D1,08/09/98,M'gladbach,Ein Frankfurt,1,1,D,0,0,D,,,,,,,,,,,,S_1998_1999
21,D1,08/09/98,Stuttgart,Kaiserslautern,4,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
22,D1,08/09/98,Wolfsburg,Freiburg,1,1,D,0,1,A,,,,,,,,,,,,S_1998_1999
23,D1,09/09/98,Bayern Munich,Hansa Rostock,6,1,H,0,0,D,,,,,,,,,,,,S_1998_1999
24,D1,09/09/98,Hertha,Schalke 04,2,0,H,0,0,D,,,,,,,,,,,,S_1998_1999
25,D1,09/09/98,Leverkusen,Hamburg,1,2,A,0,0,D,,,,,,,,,,,,S_1998_1999
26,D1,09/09/98,Nurnberg,Dortmund,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
27,D1,11/09/98,Ein Frankfurt,Stuttgart,1,1,D,0,0,D,,,,,,,,,,,,S_1998_1999
28,D1,11/09/98,Munich 1860,M'gladbach,3,1,H,2,0,H,,,,,,,,,,,,S_1998_1999
29,D1,12/09/98,Freiburg,Bayern Munich,0,2,A,0,2,A,,,,,,,,,,,,S_1998_1999
30,D1,12/09/98,Hamburg,Wolfsburg,1,1,D,1,0,H,,,,,,,,,,,,S_1998_1999
31,D1,12/09/98,Hansa Rostock,Duisburg,3,0,H,0,0,D,,,,,,,,,,,,S_1998_1999
32,D1,12/09/98,Kaiserslautern,Hertha,4,3,H,1,2,A,,,,,,,,,,,,S_1998_1999
33,D1,12/09/98,Schalke 04,Nurnberg,2,2,D,2,0,H,,,,,,,,,,,,S_1998_1999
34,D1,12/09/98,Werder Bremen,Leverkusen,2,2,D,0,1,A,,,,,,,,,,,,S_1998_1999
35,D1,13/09/98,Dortmund,Bochum,0,1,A,0,0,D,,,,,,,,,,,,S_1998_1999
36,D1,18/09/98,Hansa Rostock,Freiburg,0,2,A,0,0,D,,,,,,,,,,,,S_1998_1999
37,D1,18/09/98,Hertha,Ein Frankfurt,3,1,H,1,1,D,,,,,,,,,,,,S_1998_1999
38,D1,19/09/98,Bochum,Schalke 04,1,2,A,0,0,D,,,,,,,,,,,,S_1998_1999
39,D1,19/09/98,Leverkusen,Dortmund,3,1,H,1,0,H,,,,,,,,,,,,S_1998_1999
40,D1,19/09/98,Nurnberg,Kaiserslautern,1,1,D,1,0,H,,,,,,,,,,,,S_1998_1999
41,D1,19/09/98,Stuttgart,Munich 1860,0,1,A,0,0,D,,,,,,,,,,,,S_1998_1999
42,D1,19/09/98,Wolfsburg,Werder Bremen,2,4,A,0,3,A,,,,,,,,,,,,S_1998_1999
43,D1,20/09/98,Bayern Munich,Hamburg,5,3,H,2,1,H,,,,,,,,,,,,S_1998_1999
44,D1,20/09/98,Duisburg,M'gladbach,2,2,D,1,0,H,,,,,,,,,,,,S_1998_1999
45,D1,25/09/98,Hamburg,Hansa Rostock,1,0,H,0,0,D,,,,,,,,,,,,S_1998_1999
46,D1,25/09/98,Munich 1860,Hertha,2,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
47,D1,26/09/98,Dortmund,Wolfsburg,2,1,H,1,1,D,,,,,,,,,,,,S_1998_1999
48,D1,26/09/98,Freiburg,Duisburg,2,2,D,1,0,H,,,,,,,,,,,,S_1998_1999
49,D1,26/09/98,Kaiserslautern,Bochum,2,3,A,1,0,H,,,,,,,,,,,,S_1998_1999
50,D1,26/09/98,M'gladbach,Stuttgart,2,3,A,2,2,D,,,,,,,,,,,,S_1998_1999
51,D1,26/09/98,Schalke 04,Leverkusen,0,1,A,0,0,D,,,,,,,,,,,,S_1998_1999
52,D1,26/09/98,Werder Bremen,Bayern Munich,0,1,A,0,0,D,,,,,,,,,,,,S_1998_1999
53,D1,27/09/98,Ein Frankfurt,Nurnberg,3,2,H,1,1,D,,,,,,,,,,,,S_1998_1999
54,D1,02/10/98,Hertha,M'gladbach,4,1,H,1,1,D,,,,,,,,,,,,S_1998_1999
55,D1,02/10/98,Wolfsburg,Schalke 04,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
56,D1,03/10/98,Bochum,Ein Frankfurt,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
57,D1,03/10/98,Freiburg,Hamburg,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
58,D1,03/10/98,Hansa Rostock,Werder Bremen,2,1,H,1,1,D,,,,,,,,,,,,S_1998_1999
59,D1,03/10/98,Leverkusen,Kaiserslautern,2,2,D,1,2,A,,,,,,,,,,,,S_1998_1999
60,D1,03/10/98,Nurnberg,Munich 1860,1,5,A,0,2,A,,,,,,,,,,,,S_1998_1999
61,D1,04/10/98,Bayern Munich,Dortmund,2,2,D,2,1,H,,,,,,,,,,,,S_1998_1999
62,D1,04/10/98,Duisburg,Stuttgart,2,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
63,D1,16/10/98,Kaiserslautern,Wolfsburg,1,1,D,0,0,D,,,,,,,,,,,,S_1998_1999
64,D1,16/10/98,Munich 1860,Bochum,2,1,H,2,1,H,,,,,,,,,,,,S_1998_1999
65,D1,17/10/98,Ein Frankfurt,Leverkusen,2,3,A,2,0,H,,,,,,,,,,,,S_1998_1999
66,D1,17/10/98,Hamburg,Duisburg,4,1,H,2,0,H,,,,,,,,,,,,S_1998_1999
67,D1,17/10/98,M'gladbach,Nurnberg,0,2,A,0,1,A,,,,,,,,,,,,S_1998_1999
68,D1,17/10/98,Schalke 04,Bayern Munich,1,3,A,1,2,A,,,,,,,,,,,,S_1998_1999
69,D1,17/10/98,Stuttgart,Hertha,0,0,D,0,0,D,,,,,,,,,,,,S_1998_1999
70,D1,17/10/98,Werder Bremen,Freiburg,2,3,A,1,3,A,,,,,,,,,,,,S_1998_1999
71,D1,18/10/98,Dortmund,Hansa Rostock,2,0,H,1,0,H,,,,,,,,,,,,S_1998_1999
72,D1,23/10/98,Freiburg,Dortmund,2,2,D,1,1,D,,,,,,,,,,,,S_1998_1999
