,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Time,season,Attendance
53,53,E0,14/09/96,Man United,Nott'm Forest,4,1,H,2,1,H,,,,,,,,,,,,S_1996_1997,
54,54,E0,14/09/96,Newcastle,Blackburn,2,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
55,55,E0,14/09/96,Southampton,Tottenham,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
56,56,E0,14/09/96,West Ham,Wimbledon,0,2,A,0,0,D,,,,,,,,,,,,S_1996_1997,
57,57,E0,15/09/96,Chelsea,Aston Villa,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
58,58,E0,15/09/96,Leicester,Liverpool,0,3,A,0,0,D,,,,,,,,,,,,S_1996_1997,
59,59,E0,16/09/96,Arsenal,Sheffield Weds,4,1,H,0,1,A,,,,,,,,,,,,S_1996_1997,
60,60,E0,21/09/96,Aston Villa,Man United,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
61,61,E0,21/09/96,Blackburn,Everton,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
62,62,E0,21/09/96,Leeds,Newcastle,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
63,63,E0,21/09/96,Liverpool,Chelsea,5,1,H,3,0,H,,,,,,,,,,,,S_1996_1997,
64,64,E0,21/09/96,Middlesbrough,Arsenal,0,2,A,0,2,A,,,,,,,,,,,,S_1996_1997,
65,65,E0,21/09/96,Nott'm Forest,West Ham,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
66,66,E0,21/09/96,Sheffield Weds,Derby,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
67,67,E0,21/09/96,Sunderland,Coventry,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
68,68,E0,22/09/96,Tottenham,Leicester,1,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
69,69,E0,23/09/96,Wimbledon,Southampton,3,1,H,2,0,H,,,,,,,,,,,,S_1996_1997,
70,70,E0,28/09/96,Arsenal,Sunderland,2,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
71,71,E0,28/09/96,Chelsea,Nott'm Forest,1,1,D,0,0,D,,,,,,,,,,,,S_1996_1997,
72,72,E0,28/09/96,Coventry,Blackburn,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
73,73,E0,28/09/96,Derby,Wimbledon,0,2,A,0,0,D,,,,,,,,,,,,S_1996_1997,
74,74,E0,28/09/96,Everton,Sheffield Weds,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
75,75,E0,28/09/96,Leicester,Leeds,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
76,76,E0,28/09/96,Southampton,Middlesbrough,4,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
77,77,E0,29/09/96,Man United,Tottenham,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
78,78,E0,29/09/96,West Ham,Liverpool,1,2,A,1,1,D,,,,,,,,,,,,S_1996_1997,
79,79,E0,30/09/96,Newcastle,Aston Villa,4,3,H,3,1,H,,,,,,,,,,,,S_1996_1997,
80,80,E0,12/10/96,Blackburn,Arsenal,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
81,81,E0,12/10/96,Derby,Newcastle,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
82,82,E0,12/10/96,Everton,West Ham,2,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
83,83,E0,12/10/96,Leeds,Nott'm Forest,2,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
84,84,E0,12/10/96,Leicester,Chelsea,1,3,A,1,0,H,,,,,,,,,,,,S_1996_1997,
85,85,E0,12/10/96,Man United,Liverpool,1,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
