,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Time,season,Attendance
0,0,E0,19/08/95,Aston Villa,Man United,3,1,H,3,0,H,,,,,,,,,,,,S_1995_1996,
1,1,E0,19/08/95,Blackburn,QPR,1,0,H,1,0,H,,,,,,,,,,,,S_1995_1996,
2,2,E0,19/08/95,Chelsea,Everton,0,0,D,0,0,D,,,,,,,,,,,,S_1995_1996,
3,3,E0,19/08/95,Liverpool,Sheffield Weds,1,0,H,0,0,D,,,,,,,,,,,,S_1995_1996,
4,4,E0,19/08/95,Man City,Tottenham,1,1,D,0,1,A,,,,,,,,,,,,S_1995_1996,
5,5,E0,19/08/95,Newcastle,Coventry,3,0,H,1,0,H,,,,,,,,,,,,S_1995_1996,
6,6,E0,19/08/95,Southampton,Nott'm Forest,3,4,A,1,3,A,,,,,,,,,,,,S_1995_1996,
7,7,E0,19/08/95,West Ham,Leeds,1,2,A,1,0,H,,,,,,,,,,,,S_1995_1996,
8,8,E0,19/08/95,Wimbledon,Bolton,3,2,H,2,2,D,,,,,,,,,,,,S_1995_1996,
9,9,E0,20/08/95,Arsenal,Middlesbrough,1,1,D,1,1,D,,,,,,,,,,,,S_1995_1996,
10,10,E0,21/08/95,Leeds,Liverpool,1,0,H,0,0,D,,,,,,,,,,,,S_1995_1996,
11,11,E0,22/08/95,Bolton,Newcastle,1,3,A,0,1,A,,,,,,,,,,,,S_1995_1996,
12,12,E0,23/08/95,Coventry,Man City,2,1,H,1,0,H,,,,,,,,,,,,S_1995_1996,
13,13,E0,23/08/95,Everton,Arsenal,0,2,A,0,0,D,,,,,,,,,,,,S_1995_1996,
14,14,E0,23/08/95,Man United,West Ham,2,1,H,0,0,D,,,,,,,,,,,,S_1995_1996,
15,15,E0,23/08/95,Nott'm Forest,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,S_1995_1996,
16,16,E0,23/08/95,QPR,Wimbledon,0,3,A,0,1,A,,,,,,,,,,,,S_1995_1996,
17,17,E0,23/08/95,Sheffield Weds,Blackburn,2,1,H,1,0,H,,,,,,,,,,,,S_1995_1996,
18,18,E0,23/08/95,Tottenham,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,,S_1995_1996,
19,19,E0,26/08/95,Bolton,Blackburn,2,1,H,1,0,H,,,,,,,,,,,,S_1995_1996,
20,20,E0,26/08/95,Coventry,Arsenal,0,0,D,0,0,D,,,,,,,,,,,,S_1995_1996,
21,21,E0,26/08/95,Everton,Southampton,2,0,H,2,0,H,,,,,,,,,,,,S_1995_1996,
22,22,E0,26/08/95,Leeds,Aston Villa,2,0,H,1,0,H,,,,,,,,,,,,S_1995_1996,
23,23,E0,26/08/95,Man United,Wimbledon,3,1,H,1,0,H,,,,,,,,,,,,S_1995_1996,
24,24,E0,26/08/95,Middlesbrough,Chelsea,2,0,H,1,0,H,,,,,,,,,,,,S_1995_1996,
25,25,E0,26/08/95,Nott'm Forest,West Ham,1,1,D,1,1,D,,,,,,,,,,,,S_1995_1996,
26,26,E0,26/08/95,QPR,Man City,1,0,H,1,0,H,,,,,,,,,,,,S_1995_1996,
27,27,E0,26/08/95,Tottenham,Liverpool,1,3,A,0,2,A,,,,,,,,,,,,S_1995_1996,
28,28,E0,27/08/95,Sheffield Weds,Newcastle,0,2,A,0,0,D,,,,,,,,,,,,S_1995_1996,
29,29,E0,28/08/95,Blackburn,Man United,1,2,A,0,0,D,,,,,,,,,,,,S_1995_1996,
30,30,E0,29/08/95,Arsenal,Nott'm Forest,1,1,D,1,0,H,,,,,,,,,,,,S_1995_1996,
31,31,E0,30/08/95,Aston Villa,Bolton,1,0,H,0,0,D,,,,,,,,,,,,S_1995_1996,
32,32,E0,30/08/95,Chelsea,Coventry,2,2,D,2,1,H,,,,,,,,,,,,S_1995_1996,
33,33,E0,30/08/95,Liverpool,QPR,1,0,H,1,0,H,,,,,,,,,,,,S_1995_1996,
34,34,E0,30/08/95,Man City,Everton,0,2,A,0,0,D,,,,,,,,,,,,S_1995_1996,
35,35,E0,30/08/95,Newcastle,Middlesbrough,1,0,H,0,0,D,,,,,,,,,,,,S_1995_1996,
36,36,E0,30/08/95,Southampton,Leeds,1,1,D,0,0,D,,,,,,,,,,,,S_1995_1996,
37,37,E0,30/08/95,West Ham,Tottenham,1,1,D,1,0,H,,,,,,,,,,,,S_1995_1996,
38,38,E0,30/08/95,Wimbledon,Sheffield Weds,2,2,D,1,1,D,,,,,,,,,,,,S_1995_1996,
39,39,E0,09/09/95,Blackburn,Aston Villa,1,1,D,0,1,A,,,,,,,,,,,,S_1995_1996,
40,40,E0,09/09/95,Bolton,Middlesbrough,1,1,D,1,0,H,,,,,,,,,,,,S_1995_1996,
41,41,E0,09/09/95,Coventry,Nott'm Forest,1,1,D,1,1,D,,,,,,,,,,,,S_1995_1996,
42,42,E0,09/09/95,Everton,Man United,2,3,A,1,1,D,,,,,,,,,,,,S_1995_1996,
43,43,E0,09/09/95,QPR,Sheffield Weds,0,3,A,0,0,D,,,,,,,,,,,,S_1995_1996,
44,44,E0,09/09/95,Southampton,Newcastle,1,0,H,0,0,D,,,,,,,,,,,,S_1995_1996,
45,45,E0,09/09/95,Tottenham,Leeds,2,1,H,1,0,H,,,,,,,,,,,,S_1995_1996,
46,46,E0,09/09/95,Wimbledon,Liverpool,1,0,H,1,0,H,,,,,,,,,,,,S_1995_1996,
47,47,E0,10/09/95,Man City,Arsenal,0,1,A,0,0,D,,,,,,,,,,,,S_1995_1996,
48,48,E0,11/09/95,West Ham,Chelsea,1,3,A,0,2,A,,,,,,,,,,,,S_1995_1996,
49,49,E0,12/09/95,Middlesbrough,Southampton,0,0,D,0,0,D,,,,,,,,,,,,S_1995_1996,
50,50,E0,16/09/95,Arsenal,West Ham,1,0,H,0,0,D,,,,,,,,,,,,S_1995_1996,
51,51,E0,16/09/95,Aston Villa,Wimbledon,2,0,H,1,0,H,,,,,,,,,,,,S_1995_1996,
